;IDENT;LCOMM;NDEPT
366;20000216000014;CUISLES;51
454;20000378800011;PAPEETE;161
649;20000707800013;MORBIER;39
651;20000710200011;FROHEN SUR AUTHIE;80
691;20000783900018;GRAIGNES MESNIL ANGOT;50
695;20000791200013;FAAA;161
732;20000871200016;ACOUA;106
733;20000872000019;BANDRABOUA;106
734;20000873800011;BANDRELE;106
735;20000874600014;BOUENI;106
736;20000875300010;CHICONI;106
737;20000877900015;CHIRONGUI;106
740;20000878700018;DEMBENI;106
741;20000879500011;DZAOUDZI;106
742;20000880300013;KANI KELI;106
743;20000881100016;KOUNGOU;106
744;20000882900018;M'TSANGAMOUJI;106
745;20000883700011;MAMOUDZOU;106
747;20000884500014;MTSAMBORO;106
748;20000885200010;OUANGANI;106
749;20000886000013;PAMANDZI;106
750;20000887800015;SADA;106
751;20000888600018;TSINGONI;106
776;20000959500014;GUITALENS L ALBAREDE;81
870;20001106200011;ST SYMPHORIEN;35
980;20001244100016;MATA UTU;163
981;20001245800010;LEAVA;163
982;20001246600013;LEAVA;163
985;20001250800012;NOUMEA;162
992;20001253200012;MONT-DORE (LE );162
999;20001256500012;DUMBEA;162
1005;20001259900011;PAITA;162
1007;20001260700012;ILE-DES-PINS (L' );162
1010;20001261500015;YATE;162
1016;20001266400013;BELEP;162
1019;20001267200016;KAALA-GOMEN;162
1026;20001270600012;KONE;162
1027;20001272200019;KOUMAC;162
1033;20001273000012;OUEGOA;162
1036;20001274800014;POUEMBOUT;162
1038;20001275500019;POUM;162
1042;20001276300013;POYA;162
1046;20001278900018;VOH;162
1056;20001285400010;POINDIMIE;162
1058;20001286200013;CANALA;162
1062;20001287000016;HIENGHENE;162
1066;20001289600011;HOUAILOU;162
1070;20001290400013;KOUAOUA;162
1075;20001292000019;PONERIHOUEN;162
1079;20001293800011;POUEBO;162
1082;20001294600014;TOUHO;162
1088;20001299500011;LIFOU;162
1093;20001302700012;MARE;162
1116;20001306800016;OUVEA;162
1118;20001307600019;BOURAIL;162
1124;20001309200016;BOULOUPARI;162
1128;20001310000017;FARINO;162
1131;20001311800019;LA FOA;162
1135;20001312600012;MOINDOU;162
1138;20001313400016;SARRAMEA;162
1142;20001314200019;THIO;162
1181;20001337300010;RANGIROA;161
1184;20001338100013;NUKU HIVA;161
1188;20001339900015;TUBUAI;161
1190;20001340700016;ANAA;161
1193;20001341500019;ARUTUA;161
1197;20001342300013;FAKARAVA;161
1201;20001343100016;FANGATAU;161
1203;20001344900018;GAMBIER;161
1209;20001345600013;HAO;161
1212;20001346400017;HIKUERU;161
1214;20001347200010;MAKEMO;161
1216;20001348000013;MANIHI;161
1220;20001349800015;NAPUKA;161
1222;20001350600015;NUKUTAVAKE;161
1224;20001351400019;PUKAPUKA;161
1227;20001352200012;REAO;161
1230;20001353000015;TAKAROA;161
1234;20001354800017;TATAKOTO;161
1236;20001355500012;TUREIA;161
1238;20001356300016;FATU HIVA;161
1242;20001357100019;HIVA OA;161
1246;20001359700014;TAHUATA;161
1250;20001360500015;UA HUKA;161
1253;20001361300019;UA POU;161
1256;20001362100012;RAIVAVAE;161
1259;20001363900014;RAPA;161
1264;20001364700017;RIMATARA;161
1266;20001365400013;RURUTU;161
1268;20001366200016;ARUE;161
1272;20001368800011;HITIAA O TE RA;161
1275;20001370400016;MAHINA;161
1279;20001371200019;MOOREA MAIAO;161
1286;20001372000012;PAEA;161
1291;20001373800014;PAPARA;161
1295;20001374600017;PIRAE;161
1298;20001375300013;PUNAAUIA;161
1302;20001376100016;TAIARAPU EST;161
1305;20001377900018;TAIARAPU OUEST;161
1308;20001378700011;TEVA I UTA;161
1311;20001379500014;BORA BORA;161
1328;20001451200012;LIEOUX;31
1359;20001505500011;HUAHINE;161
1363;20001506300015;MAUPITI;161
1367;20001507100018;TAHAA;161
1371;20001508900010;TAPUTAPUATEA;161
1376;20001509700013;TUMARAA;161
1380;20001510500014;UTUROA;161
1612;20001869500011;SOURCE SEINE;21
2229;20002715900017;DUNKERQUE;59
2464;20002975900012;LANEUVILLE A REMY;52
2666;20003131800013;AVRECOURT;52
2667;20003133400010;SAULXURES;52
2668;20003135900017;LAVILLENEUVE AU ROI;52
2669;20003137500013;CHEZEAUX;52
2856;20003365200013;THIZY LES BOURGS;69
2859;20003369400015;LE DEVOLUY;5
2981;20003432000016;VOULMENTIN;79
2984;20003434600011;ST GERMAIN NUELLES;69
3003;20003450200019;ST BONNET EN CHAMPSAUR;5
3234;20003528500010;BEAUSSAIS VITRE;79
3401;20003639000017;FONTENOY LE CHATEAU;88
3520;20003718200017;PONT DE ROIDE VERMONDANS;25
3551;20003764600011;EPIZON;52
4058;20004084800018;ST HILAIRE EN WOEVRE;55
4074;20004091300010;BONZEE;55
4728;20004388300012;LOISEY;55
4731;20004389100015;CULEY;55
5097;20004752000016;CLUX VILLENEUVE;71
5104;20004762900015;VILLENEUVE EN PERSEIGNE;72
5116;20004778500015;VAUGNERAY;69
5173;20004843700012;LES AUXONS;25
5228;20004878300019;GOUSSAINVILLE;28
5287;20004933600015;NOTRE DAME D ESTREES CORBON;14
5289;20004937700019;ST CREPIN IBOUVILLERS;60
5292;20004939300065;ST OFFENGE;73
5320;20004975700012;BOISCHAMPRE;61
5322;20004976500015;TINCHEBRAY BOCAGE;61
5327;20004978100012;MONTSECRET CLAIREFOUGERE;61
5331;20004981500018;ECLOSE BADINIERES;38
5547;20005260300012;KAYSERSBERG VIGNOBLE;68
5562;20005270200012;BAUGE EN ANJOU;49
5593;20005304900017;REAUX SUR TREFLE;17
5595;20005305600012;LA ROMAINE;70
5611;20005314800017;VAL BUECH MEOUGE;5
5616;20005315500012;NONETTE ORSONNETTE;63
5620;20005321300019;LES BOIS D ANJOU;49
5624;20005323900014;LE LION D ANGERS;49
5633;20005325400013;BALLON ST MARS;72
5646;20005339500014;LE POIZAT LALLEYRIAT;1
5652;20005341100019;DHUYS ET MORIN EN BRIE;2
5653;20005343700014;DOUZY;8
5661;20005347800018;ASPACH MICHELBACH;68
5663;20005350200015;PARSAC RIMONDEIX;23
5669;20005355100012;EPAGNY METZ TESSY;74
5673;20005359300014;CHEMILLE EN ANJOU;49
5680;20005361900017;BEAUPREAU EN MAUGES;49
5684;20005362700010;GRANGES-AUMONTZEY;88
5692;20005366800014;ARBOYS EN BUGEY;1
5694;20005367600017;HAUT VALROMEY;1
5699;20005369200014;LES MONTS D ANDAINE;61
5705;20005370000015;ECOUVES;61
5710;20005373400014;BORNEL;60
5722;20005381700017;VAL AU PERCHE;61
5727;20005382500010;TORIGNY LES VILLES;50
5734;20005383300014;ENTRELACS;73
5738;20005386600014;PERCHE EN NOCE;61
5746;20005389000014;LESSAY;50
5752;20005390800014;MOYON VILLAGES;50
5759;20005396500014;SABLONS SUR HUISNE;61
5761;20005397300018;GRANDPARIGNY;50
5768;20005404700010;CONFOLENS;16
5773;20005406200019;MIEGES;39
5775;20005407000012;REMALARD EN PERCHE;61
5779;20005410400019;VAL D ARCOMIE;15
5785;20005413800017;FAVERGES SEYTHENEX;74
5792;20005414600010;SANCEY;25
5797;20005417900011;LES VILLAGES VOVEENS;28
5800;20005418700014;VAL DES VIGNES;16
5802;20005419500017;MEZIERES SUR ISSOIRE;87
5807;20005421100012;GARDE COLOMBE;5
5809;20005422900014;VILLENEUVE EN RETZ;44
5816;20005425200016;PLOEUC-SUR-LIE;22
5826;20005426000019;ESSARTS EN BOCAGE;85
5838;20005429400018;LE MENE;22
5852;20005430200019;MONTREVAULT SUR EVRE;49
5857;20005433600017;LA POMMERAYE MAUGES SUR LOIRE;49
5870;20005438500014;SEVREMOINE;49
5877;20005448400015;BANASSAC-CANILHAC;48
5880;20005452600013;ST ANTOINE L ABBAYE;38
5885;20005453400017;NAUSSAC FONTANES;48
5887;20005454200010;MITTAINVILLIERS VERIGNY;28
5888;20005455900014;TUFFE VAL DE LA CHERONNE;72
5897;20005458300014;BELLEGARDE MARSAL;81
5899;20005462500013;LE THUIT DE L OISON;27
5903;20005463300017;FLANCOURT CRESCY EN ROUMOIS;27
5904;20005464100010;VALDALLIERE;14
5908;20005467400011;FORGES LES EAUX;76
5911;20005468200014;SYLVAINS LES MOULINS;27
5919;20005471600093;STE SUZANNE ET CHAMMES;53
5920;20005472400014;AUDIERNE;29
5923;20005473200017;VILLEDIEU LES POELES ROUFFIGNY;50
5961;20005481500010;DIVATTE SUR LOIRE;44
5965;20005483100017;SENILLE ST SAUVEUR;86
5967;20005485600014;PONTORSON;50
5969;20005486400018;GUIPRY MESSAC;35
5973;20005488000014;LA CHAPELLE DU LOU DU LAC;35
5975;20005489800016;ST MAURICE ETUSSON;79
5984;20005492200014;COLOMBY ANGUERNY;14
5986;20005493000017;LE HAUT SOULTZBACH;68
5987;20005494800019;MONTCUQ EN QUERCY BLANC;46
5991;20005497100011;SOUSCEYRAC EN QUERCY;46
5996;20005499700016;LA FERTE EN OUCHE;61
6002;20005505100011;BEAULIEU;58
6004;20005508500019;CHALMAZEL JEANSAGNIERE;42
6011;20005513500012;ARLAY;39
6017;20005515000011;LA CHAILLEUSE;39
6019;20005520000014;MALEMORT;19
6020;20005521800016;BELLEVIGNE EN LAYON;49
6026;20005534100016;ESSOUVERT;17
6034;20005536600013;SAINT GENIEZ D'OLT ET D'AUBRAC;12
6041;20005538200010;VAL DE CHAISE;74
6044;20005539000013;BEAUCE LA ROMAINE;41
6045;20005540800013;LE BAS SEGALA;12
6057;20005542400010;SEVERAC D AVEYRON;12
6079;20005549900012;LA-PLAGNE-TARENTAISE;73
6093;20005555600019;CRETS EN BELLEDONNE;38
6095;20005557200016;GRANDPRE;8
6097;20005558000019;BERNWILLER;68
6100;20005559800011;VAL DE LAMBRONNE;11
6103;20005560600012;LES SEPTVALLONS;2
6112;20005562200019;AY CHAMPAGNE;51
6129;20005570500012;LOIRON RUILLE;53
6130;20005571300016;SPECHBACH;68
6132;20005573900011;VAL DE LIVRE;51
6134;20005574700014;VALRAVILLON;89
6138;20005576200013;AIME-LA-PLAGNE;73
6142;20005577000016;LE MONTSAUGEONNAIS;52
6152;20005578800018;CHARNY OREE DE PUISAYE;89
6163;20005581200016;BAGNOLES DE L'ORNE NORMANDIE;61
6169;20005582000019;VAIR SUR LOIRE;44
6172;20005584600014;ARGENCES EN AUBRAC;12
6200;20005589500011;FONTRIEU;81
6204;20005590300013;ORNANS;25
6208;20005591100016;MONTSENELLE;50
6210;20005592900018;CONQUES EN ROUERGUE;12
6215;20005595200010;THEIX NOYALO;56
6218;20005596000070;LE PARC;50
6222;20005598600018;LA HAYE;50
6235;20005599400236;ARGENTONNAY;79
6239;20005602600012;AMFREVILLE ST AMAND;27
6240;20005603400016;VAL DU LAYON;49
6242;20005605900013;BOURNEVILLE STE CROIX;27
6243;20005607500019;MARBOIS;27
6245;20005609100016;LONGUENEE EN ANJOU;49
6249;20005611700019;CHAMBOIS;27
6252;20005613300016;COURS;69
6255;20005614100019;TALLOIRES MONTMIN;74
6258;20005615800013;OREE D ANJOU;49
6269;20005622400013;AUTRANS MEAUDRE EN VERCORS;38
6282;20005625700013;STE MARIE D ATTEZ;27
6283;20005626500016;BLAISON ST SULPICE;49
6284;20005627300010;SALINS-FONTAINE;73
6287;20005630700016;VALLEES EN CHAMPAGNE;2
6298;20005639800015;LAISSAC SEVERAC L EGLISE;12
6308;20005642200013;AULHAT FLAT;63
6309;20005643000016;ORVAL-SUR-SIENNE;50
6312;20005645500013;MACHECOUL ST MEME;44
6314;20005646300017;AUNEAU;28
6317;20005648900012;GOMMERVILLE;28
6321;20005651300019;ST JEAN D ELLE;50
6323;20005652100012;DUCEY LES CHERIS;50
6325;20005654700017;MERCUROL VEAUNES;26
6329;20005658800011;SAP EN AUGE;61
6334;20005662000012;PALMAS D AVEYRON;12
6337;20005663800014;VILLEGUSIEN LE LAC;52
6343;20005667900018;VERRIERES EN ANJOU;49
6349;20005669500014;CHAMPDOR CORCELLES;1
6353;20005670300016;PORDIC;22
6358;20005671100019;JUGON LES LACS COMMUNE NOUVELLE;22
6367;20005674500017;BAIRON ET SES ENVIRONS;8
6369;20005675200013;PUTANGES LE LAC;61
6376;20005679400015;DOUCHY MONTCORBON;45
6380;20005682800011;THEREVAL;50
6385;20005684400018;CHERBOURG EN COTENTIN;50
6393;20005685100013;CANS ET CEVENNES;48
6394;20005686900015;SOULEUVRE EN BOCAGE;14
6402;20005687700018;CONDE EN NORMANDIE;14
6424;20005691900018;VAL FOUZON;36
6430;20005692700011;FLORAC TROIS RIVIERES;48
6433;20005694300018;PETIT CAUX;76
6445;20005698400012;MONTRICHARD VAL DE CHER;41
6448;20005699200015;BOISNE LA TUDE;16
6450;20005703200019;PRE EN PAIL-SAINT SAMSON;53
6454;20005706500019;PORT JEROME SUR SEINE;76
6466;20005709900018;ST AUGUSTIN;62
6473;20005711500012;MIGNOVILLARD;39
6475;20005712300016;TETEGHEM-COUDEKERQUE-VILLAGE;59
6477;20005714900011;HAUTEROCHE;39
6484;20005715600172;LES PREMIERS SAPINS;25
6487;20005717200013;ROMAGNY FONTENAY;50
6491;20005719800018;GONNEVILLE LE THEIL;50
6493;20005721400013;PERCY EN NORMANDIE;50
6497;20005722200016;GHYVELDE;59
6500;20005725500230;LE MALESHERBOIS;45
6506;20005729700018;BRICQUEBEC EN COTENTIN;50
6511;20005732100016;TRUCHTERSHEIM;67
6513;20005733900018;ST MARTIN DE L IF;76
6517;20005734700011;VAL REVERMONT;1
6525;20005736200010;VICQ SUR MER;50
6529;20005739600018;LE GRIPPON;50
6531;20005743800018;LOIRE AUTHION;49
6536;20005747900012;SOMMERAU;67
6537;20005748700015;LE ROUGET PERS;15
6542;20005750300019;ST CONSTANT FOURNOULES;15
6543;20005751100012;BUAIS LES MONTS;50
6547;20005756000019;BEDOUES COCURES;48
6549;20005758600014;CASTELNAU D AUZAN LABARRERE;32
6552;20005759400018;PONT DE MONTVERT SUD MONT LOZERE;48
6554;20005760200019;LE LESME;27
6555;20005761000012;CLEF VALLEE D EURE;27
6558;20005762800014;MOUILLERON ST GERMAIN;85
6562;20005763600017;LE TEILLEUL;50
6571;20005767700011;DOIX LES FONTAINES;85
6575;20005768500014;VEXIN SUR EPTE;27
6577;20005770100019;BELLEVIGNY;85
6586;20005773500017;SEPEAUX ST ROMAIN;89
6587;20005774300011;THEUVILLE;28
6588;20005779200018;AUBIGNY LES CLOUZEAUX;85
6593;20005781800011;CHAMBARON SUR MORGE;63
6594;20005782600014;PLEMET;22
6618;20005790900018;BRUNSTATT DIDENHEIM;68
6619;20005791700011;FRAGNES LA LOYERE;71
6660;20005804800014;SARTILLY BAIE BOCAGE;50
6663;20005805500019;ST MAUR;36
6665;20005807100016;VAL DE VIRVEE;33
6673;20005812100019;CHAUMES EN RETZ;44
6675;20005814700014;GRAND BOURGTHEROULDE;27
6678;20005816200013;MESNIL EN OUCHE;27
6682;20005819600011;GENAC BIGNAC;16
6684;20005820400013;SAINT-HILAIRE-DU-HARCOUET;50
6688;20005821200016;MONTMERAC;16
6690;20005822000092;MARIGNY LE LOZON;50
6692;20005824600014;BRETEUIL;27
6694;20005825300010;ANCY DORNOT;57
6697;20005827900015;MORTAIN BOCAGE;50
6702;20005830300013;WINGERSHEIM LES QUATRE BANS;67
6720;20005837800015;VALORBIQUET;14
6721;20005838600018;MONTREVERD;85
6729;20005841000016;VENTALON EN CEVENNES;48
6731;20005842800018;TERRE ET MARAIS;50
6733;20005844400015;LES AVENIERES VEYRINS THUELLIN;38
6751;20005850100012;BOURGS SUR COLAGNE;48
6760;20005853500010;COEUR DE CAUSSE;46
6763;20005854300014;MOUZON;8
6769;20005861800014;VAL D ORONAYE;4
6770;20005864200014;ATHIS VAL DE ROUVRE;61
6774;20005866700011;RIVES D ANDAINE;61
6781;20005868300018;PORTE DU RIED;68
6784;20005871700014;ILLTAL;68
6787;20005875800018;HAUT BOCAGE;3
6804;20005884000014;AIX VILLEMAUR PALIS;10
6809;20005887300015;MAZE-MILON 49140;49
6813;20005889900010;BEAUFORT EN ANJOU;49
6816;20005892300018;JARZE VILLAGES;49
6818;20005894900013;TUFFALUN;49
6822;20005898000018;LONGNY LES VILLAGES;61
6829;20005900400016;VERMENTON;89
6834;20005902000012;LOIREAUXENCE;44
6841;20005904600017;PARCOUL CHENAUD;24
6845;20005906100016;ARELAUNE EN SEINE;76
6847;20005907900018;SEVREMONT;85
6862;20005911100019;RIVES EN SEINE;76
6870;20005915200013;ST AULAYE PUYMANGOU;24
6878;20005917800018;CHAILLOUE;61
6880;20005919400015;DOMFRONT EN POIRAIE;61
6897;20005923600014;COUR MAUGIS SUR HUISNE;61
6899;20005924400018;EVELLYS;56
6904;20005925100013;RIVES DERVOISES;52
6906;20005927700018;SAINTS GEOSMES;52
6915;20005932700011;THORAS;43
6920;20005937600018;ESPLANTAS VAZEILLES;43
6945;20005941800018;QUILLAN;11
6953;20005943400015;MASEVAUX NIEDERBRUCK;68
6962;20005947500018;LYS HAUT LAYON;49
6968;20005950900014;LE BOSC DU THEIL;27
6976;20005954100017;SOURDEVAL;50
6980;20005956600014;LA BARONNIE;27
6981;20005957400018;LE VAL D OCRE;89
6983;20005958200011;ERDRE-EN-ANJOU;49
6987;20005960800014;SAINT-MARTIN-LEZ-TATINGHEM;62
6990;20005962400011;LES VALLEES DE LA VANNE;89
6991;20005963200014;CHENILLE CHAMPTEUSSE;49
6994;20005965700011;LE VAL D HAZEY;27
6999;20005973100014;PAYS DE BELVES;24
7001;20005975600011;COUX ET BIGAROQUE MOUZENS;24
7005;20005979800013;SAINT-THEGONNEC LOC-EGUINER;29
7011;20005983000014;VAL D OUST;56
7017;20005986300015;LE ROUSSET MARIZY;71
7027;20005990500014;VAL MONT;21
7028;20005991300018;PARVES ET NATTAGES;1
7029;20005992100011;PROVENCHERES-COLROY;88
7032;20005993900013;THAON LES VOSGES;88
7036;20005994700016;LA PORTE DU DER;52
7039;20005996200015;RIVES DE L YON;85
7044;20005998800010;LES PECHS DU VERS;46
7048;20006000200017;ST PAUL FLAUGNAC;46
7060;20006002800012;PASSAIS VILLAGES;61
7065;20006003600015;BEAUMONTOIS EN PERIGORD;24
7066;20006005100014;MOREZ;39
7077;20006006900164;JUVIGNY VAL D ANDAINE;61
7081;20006012700012;LES ABRETS EN DAUPHINE;38
7084;20006014300019;GROSLEE ST BENOIT;1
7091;20006017600019;VIRE NORMANDIE;14
7109;20006018400013;INGRANDES-LE FRESNE-SUR-LOIRE;49
7116;20006026700016;SORGES ET LIGUEUX EN PERIGORD;24
7120;20006030900016;GAVARNIE GEDRE;65
7125;20006032500012;LOUDENVIELLE;65
7129;20006036600016;CHEMERY CHEHERY;8
7132;20006038200013;MALHERBE-SUR-AJON;14
7133;20006040800016;VAL DE VIE;14
7134;20006043200016;BALLEROY SUR DROME;14
7145;20006048100013;ROTS;14
7148;20006050700015;LA VESPIERE FRIARDEL;14
7149;20006051500018;LIVAROT PAYS D AUGE;14
7156;20006055600012;OSSELLE ROUTELLE;25
7160;20006057200019;THURY HARCOURT LE HOM;14
7166;20006062200012;TOUROUVRE AU PERCHE;61
7173;20006072100012;SOLAURE EN DIOIS;26
7190;20006096000016;LA FERTE MACE;61
7232;20006146300010;BINIC ETABLES SUR MER;22
7247;20006176000019;VINCENT FROIDEVILLE;39
7259;20006196800018;MONTHOLON;89
7283;20006227100016;DEUX RIVIERES;89
7292;20006233900011;COLLIGNY MAIZERY;57
7295;20006238800018;VOUZIERS;8
7301;20006243800011;VAIRE;25
7307;20006253700010;NIVIGNE ET SURAN;1
7312;20006254500161;MONT LOZERE ET GOULET;48
7314;20006257800014;MONTLAINSIA;39
7316;20006258600157;FILLIERE;74
7319;20006260200012;HYPERCOURT;80
7322;20006264400014;LA DRENNE;60
7323;20006265100019;BLANDOUET SAINT JEAN;53
7326;20006267700014;BELLINGHEM;62
7328;20006269300011;TRENAL;39
7334;20006276800011;VALLOIRE SUR CISSE;41
7335;20006278400018;AUNAC SUR CHARENTE;16
7338;20006282600017;BAZEILLES;8
7343;20006293300011;SARROUX ST JULIEN;19
7345;20006294100014;BELLEVIGNE;16
7349;20006297400015;MILIZAC-GUIPRONVEL;29
7357;20006299000011;BOURGOGNE FRESNE;51
7358;20006300600015;ENQUIN-LEZ-GUINEGATTE;62
7360;20006302200012;ARGENTAT SUR DORDOGNE;19
7367;20006305500012;PLOUNEOUR TREZ;29
7374;20006310500015;MONTMOREAU;16
7378;20006312100012;CHAZEY BONS;1
7381;20006313900014;PICAUVILLE;50
7385;20006314700017;GORGES DU TARN CAUSSES;48
7389;20006317000019;HOCHFELDEN;67
7391;20006319600014;MONTVAL SUR LOIR;72
7396;20006321200019;VAL SONNETTE;39
7397;20006322000012;VALZIN EN PETITE MONTAGNE;39
7399;20006323800014;COTEAUX DU LIZON;39
7404;20006326100016;JUVIGNY LES VALLEES;50
7411;20006328700011;VAUX D AMOGNES;58
7413;20006329500014;ST JAMES;50
7423;20006334500017;VAL DE BRIEY;54
7425;20006336000016;PUYGOUZON;81
7431;20006340200016;ANNECY;74
7440;20006342800011;CHAMPIGNY EN ROCHEREAU;86
7467;20006349300015;JAUNAY MARIGNY;86
7472;20006350100015;MEAULNE VITRAY;3
7487;20006354300017;CANISY;50
7490;20006357600017;ST AMAND VILLAGES;50
7494;20006359200014;CONDE SUR VIRE;50
7506;20006367500116;VAL DU MAINE;53
7508;20006368300011;ST AIGNAN DES GUES;45
7513;20006372500010;VALENCISSE;41
7518;20006374100017;CASTELNAU MONTRATIER STE ALAUZIE;46
7522;20006377400018;PACY-SUR-EURE;27
7526;20006378200029;LES TROIS LACS;27
7528;20006379000014;VERNEUIL D AVRE ET D ITON;27
7533;20006382400011;LA CHAPELLE LONGUEVILLE;27
7537;20006386500014;VAL D ORGER;27
7538;20006387300018;BOSROUMOIS;27
7540;20006390700014;NASSANDRES SUR RISLE;27
7544;20006393100014;MONTS-DU-ROUMOIS (LES);27
7546;20006395600011;AUCHAY SUR VENDEE;85
7549;20006396400015;ARANDON PASSINS;38
7550;20006397200018;VILLAGES DU LAC DE PALADRU;38
7553;20006399800013;REMILLY LES MARAIS;50
7558;20006403800017;COURCHEVEL;73
7567;20006405300016;BORDES UCHENTEIN;9
7568;20006406100019;VAL CENIS;73
7581;20006407900011;BELFORET EN PERCHE;61
7589;20006411100012;LES HAUTS DE FORTERRE;89
7592;20006414500010;ALLOINAY;79
7596;20006418600014;PRINSUEJOLS MALBOUZON;48
7599;20006421000012;PEGUILHAN;31
7601;20006423600017;BENQUE MOLERE;65
7604;20006426900018;LA GACILLY;56
7616;20006430100019;CASTETS ET CASTILLON;33
7620;20006435000016;ANCE FEAS;64
7629;20006443400018;LES DEUX ALPES;38
7633;20006445900015;LA SURE EN CHARTREUSE;38
7634;20006447500011;MAURE DE BRETAGNE;35
7638;20006448300015;CHATEAUGIRON;35
7649;20006451700010;MAEN ROCH;35
7657;20006453300017;BEAUMONT;86
7660;20006456600017;MORANNES SUR SARTHE;49
7664;20006458200014;BRISSAC LOIRE AUBANCE;49
7669;20006460800017;LES GARENNES SUR LOIRE;49
7671;20006463200017;VALD YERRE;28
7677;20006465700014;VALLOUISE PELVOUX;5
7682;20006466500017;DRUELLE BALSAC;12
7684;20006467300011;SAINT BONNET LAVAL;48
7687;20006469900016;BEAUSSAIS SUR MER;22
7696;20006472300014;VILLEMAURY;28
7698;20006473100017;PEYRE EN AUBRAC;48
7705;20006476400018;CLOYES SUR LE LOIR;28
7712;20006479800016;ST PIERRE EN AUGE;14
7717;20006481400011;TOLLAINCOURT;88
7721;20006483000017;ETINEHEM MERICOURT;80
7722;20006487100011;CAUMONT-SUR-AURE;14
7726;20006488900013;MERY BISSIERES EN AUGE;14
7728;20006490500017;ISIGNY-SUR-MER;14
7734;20006491300011;FORMIGNY LA BATAILLE;14
7735;20006492100014;AURSEULLES;14
7737;20006493900016;VALAMBRAY;14
7739;20006495400015;VAL D ARRY;14
7743;20006497000011;BELLE VIE EN AUGE;14
7745;20006499600016;MEZIDON VALLEE D AUGE;14
7750;20006500100014;MOULINS EN BESSIN;14
7752;20006501900016;MOULT CHICHEBOVILLE;14
7753;20006502700019;THUE ET MUE;14
7758;20006506800013;PONTS SUR SEULLES;14
7761;20006509200013;LAIZE-CLINCHAMPS;14
7764;20006511800016;CREULLY SUR SEULLES;14
7767;20006512600019;LES COTEAUX PERIGOURDINS;24
7769;20006514200016;CASTELS ET BEZENAC;24
7772;20006515900010;BASSILLAC;24
7775;20006517500016;NEUSSARGUES EN PINATELLE;15
7782;20006519100013;NEUVEGLISE SUR TRUYERE;15
7787;20006522500019;DOUE LA FONTAINE;49
7793;20006526600013;SALIGOS;65
7794;20006527400017;VAL D OINGT;69
7797;20006531600016;CUBJAC AUVEZERE VAL D ANS;24
7799;20006532400010;MAREUIL EN PERIGORD;24
7804;20006533200013;VAL DE LOUYRE ET CAUDEAU;24
7810;20006534000016;LA TOUR BLANCHE CERCLES;24
7812;20006535700010;BOULAZAC ISLE MANOIRE;24
7823;20006538100010;SERVANCE MIELLIN;70
7825;20006539900012;ST PRIVAT EN PERIGORD;24
7831;20006541500016;LA HAGUE;50
7837;20006542300010;SEGRE;49
7845;20006544900015;LA VINEUSE SUR FREGANDE;71
7850;20006546400014;SANILHAC;24
7859;20006548000010;FURSAC;23
7865;20006554800014;GUERLEDAN;22
7882;20006557100016;LANISCAT;22
7907;20006562100019;MONTOURS;35
7928;20006565400010;VEUZAIN SUR LOIRE;41
7930;20006567000016;OUCQUES LA NOUVELLE;41
7946;20006579500011;LES ACHARDS;85
7951;20006581100016;ST PATERNE LE CHEVAIN;72
7956;20006584500014;TERRES DE CAUX;76
7961;20006585200010;CHABANIERE;69
8006;20006593600011;LANGEAIS;37
8008;20006594400015;ST PRIVAT D ALLIER;43
8012;20006596900012;COTEAUX SUR LOIRE;37
8119;20006620700016;VAL D ERDRE AUXENCE;49
8136;20006625600013;GOUFFERN EN AUGE;61
8237;20006642100013;DIALAN SUR CHAINE;14
8239;20006643900015;VAL DE DROME;14
8240;20006644700018;SEULLINE;14
8241;20006645400014;LES MONTS D AUNAY;14
8327;20006662900011;ETALANS;25
8398;20006668600086;CHEMAUDIN ET VAUX;25
9016;20006756900075;CARENTOIR;56
9018;20006757700011;VRIGNE AUX BOIS;8
9086;20006771800011;CHAVAGNES;49
9090;20006773400018;VAL SURAN;39
9307;20006801300016;MARGAUX CANTENAC;33
9315;20006805400010;LAROQUE DES ARCS;46
9378;20006815300010;ST GERY VERS;46
9384;20006818700018;BUCHY;76
9422;20006833600086;CHATEL EN TRIEVES;38
9423;20006834400056;MONTFORT;25
9436;20006840100013;LEVIER;25
9553;20006857500014;VAL EN VIGNES;79
9602;20006870800011;RION DES LANDES;40
9939;20006924300018;LA JEMAYE PONTEYRAUD;24
9989;20006932600011;LA VOGE LES BAINS;88
9992;20006933400015;COLOMBEY LES DEUX EGLISES;52
9996;20006936700015;CORMOT VAUCHIGNON;21
10062;20006947400019;POUANCE;49
10189;20006971400018;TERRES DE DRUANCE;14
10271;20006989600013;NOUES DE SIENNE;14
10332;20007005000014;NOYANT VILLAGES;49
10968;20007112400016;BEAUMONT LOUESTAULT;37
11065;20007134800011;AROMAS;39
11067;20007135500016;SEPTMONCEL LES MOLUNES;39
11283;20007170200019;MURAT;15
11290;20007173600017;TERRES DE BORD;27
11420;20007195900015;UBAYE SERRE PONCON;4
11566;20007225400010;BAZOUGES CRE SUR LOIR;72
11569;20007226200013;LOIR EN VALLEE;72
11573;20007227000016;ST FRANCOIS LONGCHAMP;73
11673;20007261900014;MASSEGROS CAUSSES GORGES;48
11835;20007302100012;THOIRETTE COISIA;39
11837;20007303900014;MORET LOING ET ORVANNE;77
11944;20007337700018;AURE SUR MER;14
