;IDENT;LCOMM;NDEPT
43268;21440002000019;AIGREFEUILLE SUR MAINE;44
43270;21440006100013;ASSERAC;44
43271;21440007900049;AVESSAC;44
43274;21440009500128;BASSE GOULAINE;44
43275;21440010300013;BATZ SUR MER;44
43278;21440012900018;LA BERNERIE EN RETZ;44
43279;21440013700011;BESNE;44
43281;21440014500055;LE BIGNON;44
43283;21440015200051;BLAIN;44
43285;21440016000013;LA BOISSIERE DU DORE;44
43286;21440018600018;BOUAYE;44
43287;21440019400012;BOUEE;44
43288;21440020200013;BOUGUENAIS;44
43291;21440022800018;BOUSSAY;44
43295;21440023600011;BOUVRON;44
43298;21440024400015;BRAINS;44
43299;21440025100010;CAMPBON;44
43300;21440026900012;CARQUEFOU;44
43303;21440027700015;CASSON;44
43305;21440028500067;CELLIER (LE);44
43306;21440030100013;LA CHAPELLE DES MARAIS;44
43307;21440031900015;LA CHAPELLE GLAIN;44
43311;21440032700018;CHAPELLE-HEULIN (LA );44
43314;21440033500011;LA CHAPELLE LAUNAY;44
43315;21440035000010;CHAPELLE-SUR-ERDRE (LA );44
43317;21440036800012;CHATEAUBRIANT;44
43321;21440037600015;CHATEAU-THEBAUD;44
43323;21440038400019;CHAUVE;44
43324;21440039200012;CHEIX EN RETZ;44
43327;21440041800098;LA CHEVROLIERE;44
43328;21440043400012;CLISSON;44
43329;21440044200015;CONQUEREUIL;44
43330;21440045900019;CORDEMAIS;44
43332;21440046700012;CORSEPT;44
43333;21440047500015;COUERON;44
43335;21440048300019;COUFFE;44
43338;21440049100129;LE CROISIC;44
43342;21440050900011;CROSSAC;44
43348;21440051700014;DERVAL;44
43350;21440052500017;DONGES;44
43352;21440053300011;DREFFEAC;44
43354;21440054100014;ERBRAY;44
43358;21440055800018;LA BAULE ESCOUBLAC;44
43365;21440056600011;FAY DE BRETAGNE;44
43366;21440057400015;FEGREAC;44
43368;21440058200018;FERCE;44
43370;21440061600014;FROSSAY;44
43371;21440062400018;GAVRE (LE );44
43373;21440063200011;GETIGNE;44
43376;21440064000048;GORGES;44
43380;21440065700018;GRAND AUVERNE;44
43383;21440066500011;GRANDCHAMP DES FONTAINES;44
43384;21440067300015;GUEMENE PENFAO;44
43386;21440068100018;GUENROUET;44
43390;21440069900143;GUERANDE;44
43391;21440070700011;HAYE-FOUASSIERE (LA);44
43393;21440071500014;HAUTE-GOULAINE;44
43395;21440072300091;HERBIGNAC;44
43398;21440073100110;HERIC;44
43399;21440074900013;INDRE;44
43400;21440075600018;ISSE;44
43404;21440076400012;JANS;44
43406;21440077200015;JOUE SUR ERDRE;44
43408;21440078000018;JUIGNE-LES-MOUTIERS;44
43411;21440079800069;LE LANDREAU;44
43413;21440080600011;LAVAU SUR LOIRE;44
43415;21440081400015;LEGE;44
43420;21440082200083;LIGNE;44
43422;21440083000011;LIMOUZINIERE (LA);44
43425;21440084800013;LOROUX-BOTTEREAU (LE );44
43429;21440085500018;LOUISFERT;44
43433;21440086300012;LUSANGER;44
43436;21440088900017;MAISDON SUR SEVRE;44
43438;21440089700010;MALVILLE;44
43440;21440090500011;LA MARNE;44
43445;21440091300015;MARSAC SUR DON;44
43448;21440092100018;MASSERAC;44
43450;21440094700013;MAUVES-SUR-LOIRE;44
43451;21440095400019;LA MEILLERAYE DE BRETAGNE;44
43454;21440096200012;MESANGER;44
43458;21440097000015;MESQUER;44
43462;21440098800090;MISSILLAC;44
43463;21440099600010;MOISDON LA RIVIERE;44
43468;21440100200040;MONNIERES;44
43471;21440101000019;LA MONTAGNE;44
43472;21440102800011;MONTBERT;44
43475;21440103600121;MONTOIR-DE-BRETAGNE;44
43477;21440104400018;MONTRELAIS;44
43479;21440105100013;MOUAIS;44
43480;21440106900015;LES MOUTIERS EN RETZ;44
43482;21440107700018;MOUZEIL;44
43484;21440108500011;MOUZILLON;44
43487;21440109300015;NANTES;44
43488;21440110100016;NORT SUR ERDRE;44
43493;21440111900018;NOTRE DAME DES LANDES;44
43494;21440112700011;NOYAL SUR BRUTZ;44
43497;21440113500014;NOZAY;44
43499;21440114300018;ORVAULT;44
43501;21440115000013;OUDON;44
43504;21440116800015;PAIMBOEUF;44
43505;21440117600018;LE PALLET;44
43506;21440118400012;PANNECE;44
43510;21440119200015;PAULX;44
43515;21440120000016;LE PELLERIN;44
43516;21440121800018;PETIT AUVERNE;44
43519;21440122600011;PETIT-MARS;44
43522;21440123400015;PIERRIC;44
43523;21440124200018;LE PIN;44
43525;21440125900038;PIRIAC-SUR-MER;44
43526;21440126700015;LA PLAINE SUR MER;44
43529;21440127500018;PLANCHE (LA);44
43533;21440128300012;PLESSE;44
43537;21440129100015;PONTCHATEAU;44
43540;21440130900015;PONT ST MARTIN;44
43541;21440131700018;PORNIC;44
43542;21440132500011;PORNICHET;44
43545;21440133300015;PORT ST PERE;44
43547;21440134100018;POUILLE-LES-COTEAUX;44
43549;21440135800095;LE POULIGUEN;44
43553;21440136600056;PREFAILLES;44
43557;21440137400019;PRINQUIAU;44
43558;21440138200012;PUCEUL;44
43560;21440139000015;QUILLY;44
43561;21440140800015;LA REGRIPPIERE;44
43562;21440141600018;LA REMAUDIERE;44
43565;21440142400012;REMOUILLE;44
43567;21440143200015;REZE;44
43574;21440144000018;RIAILLE;44
43579;21440145700012;ROUANS;44
43583;21440146500015;ROUGE;44
43587;21440148100012;RUFFIGNE;44
43589;21440149900089;SAFFRE;44
43592;21440150700063;ST AIGNAN GRANDLIEU;44
43593;21440151500017;SAINT-ANDRE-DES-EAUX;44
43595;21440152300011;SAINTE-ANNE-SUR-BRIVET;44
43598;21440153100014;ST AUBIN DES CHATEAUX;44
43601;21440154900016;ST BREVIN LES PINS;44
43605;21440155600011;SAINT-COLOMBAN;44
43606;21440156400015;CORCOUE SUR LOGNE;44
43610;21440157200018;ST ETIENNE DE MER MORTE;44
43613;21440158000011;ST ETIENNE DE MONTLUC;44
43615;21440159800013;ST FIACRE SUR MAINE;44
43618;21440161400018;ST GILDAS DES BOIS;44
43622;21440162200011;ST HERBLAIN;44
43623;21440164800016;ST HILAIRE DE CHALEONS;44
43625;21440165500094;ST HILAIRE DE CLISSON;44
43629;21440166300015;ST JEAN DE BOISEAU;44
43630;21440168900010;ST JOACHIM;44
43633;21440169700013;ST JULIEN DE CONCELLES;44
43637;21440170500014;ST JULIEN DE VOUVANTES;44
43640;21440171300018;ST LEGER LES VIGNES;44
